FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.010000, 0.597333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.001000, 0.589333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000100, 0.588000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.601333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000110, 0.602000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.600667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000020, 0.599333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000030, 0.568667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000040, 0.569333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.000050, 0.598667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 1, 0.528667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 2, 0.494000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 3, 0.506667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 4, 0.519333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 5, 0.530667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 6, 0.522000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 7, 0.526000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 8, 0.524667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 9, 0.526667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 10, 0.536000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 11, 0.540667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 12, 0.538000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 13, 0.529333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 14, 0.523333 
spatial pyramid, 200, 1, 5, 10, RGB, 0, nearest neighbor, 15, 0.525333 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 10.000000, 0.620667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 1.000000, 0.617333 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.100000, 0.616000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.010000, 0.622667 
